chart_id,source,metric,series,value,unit,note,local_ref
crosscodeeval_retrieval,CrossCodeEval,Exact match,StarCoder Python in-file only,8.82,percent,"Cross-file context needed.",paper-text/crosscodeeval-2310.11248.txt
crosscodeeval_retrieval,CrossCodeEval,Exact match,StarCoder Python retrieved context,15.72,percent,"Retrieved context improved EM.",paper-text/crosscodeeval-2310.11248.txt
crosscodeeval_retrieval,CrossCodeEval,Exact match,StarCoder Python reference-assisted retrieval,21.01,percent,"Reference-assisted upper bound.",paper-text/crosscodeeval-2310.11248.txt
crosscodeeval_context_location,CrossCodeEval,References in same directory,Python,49.0,percent,"Relevant cross-file context is often local.",paper-text/crosscodeeval-2310.11248.txt
crosscodeeval_context_location,CrossCodeEval,References in same directory,TypeScript,51.3,percent,"Relevant cross-file context is often local.",paper-text/crosscodeeval-2310.11248.txt
crosscodeeval_context_location,CrossCodeEval,References with similar filename,Java,44.5,percent,"File naming helps retrieval.",paper-text/crosscodeeval-2310.11248.txt
chunking_rag,Chunking RAG Code Completion,Exact match,Function chunks,24.21,percent,"CCEval; function chunking trailed.",paper-text/chunking-rag-code-completion-2605.04763.txt
chunking_rag,Chunking RAG Code Completion,Exact match,Declaration chunks,27.71,percent,"CCEval.",paper-text/chunking-rag-code-completion-2605.04763.txt
chunking_rag,Chunking RAG Code Completion,Exact match,cAST chunks,28.19,percent,"CCEval.",paper-text/chunking-rag-code-completion-2605.04763.txt
chunking_rag,Chunking RAG Code Completion,Exact match,Sliding window chunks,28.40,percent,"CCEval; best in this table.",paper-text/chunking-rag-code-completion-2605.04763.txt
chunking_edit_similarity,Chunking RAG Code Completion,Edit similarity,Function chunks,0.379,fraction,"Sliding-window completions preserved more correct prefix.",paper-text/chunking-rag-code-completion-2605.04763.txt
chunking_edit_similarity,Chunking RAG Code Completion,Edit similarity,Sliding window chunks,0.464,fraction,"Sliding-window completions preserved more correct prefix.",paper-text/chunking-rag-code-completion-2605.04763.txt
naming_code_search,Naming affects LLMs,Code search MRR,Java original GraphCodeBERT,70.36,percent,"Original identifier names.",paper-text/naming-affects-llms-code-analysis-2307.12488.txt
naming_code_search,Naming affects LLMs,Code search MRR,Java all names anonymized/shuffled,17.03,percent,"Variable, definition, and invocation names perturbed.",paper-text/naming-affects-llms-code-analysis-2307.12488.txt
naming_code_search,Naming affects LLMs,Code search MRR,Python original GraphCodeBERT,68.17,percent,"Original identifier names.",paper-text/naming-affects-llms-code-analysis-2307.12488.txt
naming_code_search,Naming affects LLMs,Code search MRR,Python all names anonymized/shuffled,23.73,percent,"Variable, definition, and invocation names perturbed.",paper-text/naming-affects-llms-code-analysis-2307.12488.txt
names_disappear_summarization,When Names Disappear,Class-level summarization,DeepSeek V3 original,87.7,percent,"ClassEval.",paper-text/when-names-disappear-2510.03178.txt
