chart_id,source,metric,series,value,unit,note,local_ref
rig_roi,Repository Intelligence Graph,Mean accuracy improvement,RIG vs baseline,12.2,percent,"Mean across Claude Code, Cursor, and Codex on 8 repos.",paper-text/repository-intelligence-graph-2601.10112.txt
rig_roi,Repository Intelligence Graph,Completion time reduction,RIG vs baseline,53.9,percent,"Mean completion-time reduction.",paper-text/repository-intelligence-graph-2601.10112.txt
rig_roi,Repository Intelligence Graph,Seconds per correct answer reduction,RIG vs baseline,57.8,percent,"Efficiency measured as seconds per correct answer.",paper-text/repository-intelligence-graph-2601.10112.txt
rig_complexity,Repository Intelligence Graph,Accuracy gain,Low complexity,1.1,percent,"Benefit rises with repository complexity.",paper-text/repository-intelligence-graph-2601.10112.txt
rig_complexity,Repository Intelligence Graph,Accuracy gain,Medium complexity,11.0,percent,"Benefit rises with repository complexity.",paper-text/repository-intelligence-graph-2601.10112.txt
rig_complexity,Repository Intelligence Graph,Accuracy gain,High complexity,17.4,percent,"Benefit rises with repository complexity.",paper-text/repository-intelligence-graph-2601.10112.txt
rig_complexity,Repository Intelligence Graph,Time reduction,Low complexity,20.8,percent,"Benefit rises with repository complexity.",paper-text/repository-intelligence-graph-2601.10112.txt
rig_complexity,Repository Intelligence Graph,Time reduction,Medium complexity,54.6,percent,"Benefit rises with repository complexity.",paper-text/repository-intelligence-graph-2601.10112.txt
rig_complexity,Repository Intelligence Graph,Time reduction,High complexity,64.0,percent,"Benefit rises with repository complexity.",paper-text/repository-intelligence-graph-2601.10112.txt
rig_language,Repository Intelligence Graph,Accuracy gain,Single-language repos,6.6,percent,"Single-language aggregate.",paper-text/repository-intelligence-graph-2601.10112.txt
rig_language,Repository Intelligence Graph,Accuracy gain,Multilingual repos,17.7,percent,"Multilingual aggregate.",paper-text/repository-intelligence-graph-2601.10112.txt
rig_language,Repository Intelligence Graph,Efficiency gain,Single-language repos,46.4,percent,"Single-language aggregate.",paper-text/repository-intelligence-graph-2601.10112.txt
rig_language,Repository Intelligence Graph,Efficiency gain,Multilingual repos,70.3,percent,"Multilingual aggregate.",paper-text/repository-intelligence-graph-2601.10112.txt
graphcodeagent_rel,GraphCodeAgent,Relative Pass@1 improvement,DevEval GPT-4o,43.81,percent,"GraphCodeAgent over best baseline.",paper-text/graphcodeagent-2504.10046.txt
graphcodeagent_rel,GraphCodeAgent,Relative Pass@1 improvement,DevEval Gemini-1.5-Pro,39.15,percent,"GraphCodeAgent over best baseline.",paper-text/graphcodeagent-2504.10046.txt
graphcodeagent_rel,GraphCodeAgent,Relative Pass@1 improvement,CoderEval GPT-4o,31.91,percent,"GraphCodeAgent over best baseline.",paper-text/graphcodeagent-2504.10046.txt
graphcodeagent_rel,GraphCodeAgent,Relative Pass@1 improvement,CoderEval Gemini-1.5-Pro,8.25,percent,"GraphCodeAgent over best baseline.",paper-text/graphcodeagent-2504.10046.txt
graphcodeagent_cross_file,GraphCodeAgent,Relative Pass@1 improvement,Cross-file dependency slice,94.30,percent,"Largest reported dependency-slice gain over best baseline.",paper-text/graphcodeagent-2504.10046.txt
graphcodeagent_ablation,GraphCodeAgent,Pass@1,Full GraphCodeAgent,58.14,percent,"DevEval GPT-4o.",paper-text/graphcodeagent-2504.10046.txt
graphcodeagent_ablation,GraphCodeAgent,Pass@1,Without SSCGTraverse,51.83,percent,"Removing dynamic graph traversal caused the largest ablation drop.",paper-text/graphcodeagent-2504.10046.txt
repograph_resolve,RepoGraph,Resolve rate,RAG baseline,2.67,percent,"SWE-bench-Lite resolve rate.",paper-text/repograph-2410.14684.txt
repograph_resolve,RepoGraph,Resolve rate,RAG + RepoGraph,5.33,percent,"SWE-bench-Lite resolve rate.",paper-text/repograph-2410.14684.txt
repograph_resolve,RepoGraph,Resolve rate,Agentless baseline,27.33,percent,"SWE-bench-Lite resolve rate.",paper-text/repograph-2410.14684.txt
repograph_resolve,RepoGraph,Resolve rate,Agentless + RepoGraph,29.67,percent,"SWE-bench-Lite resolve rate.",paper-text/repograph-2410.14684.txt
