chart_id,source,metric,series,value,unit,note,local_ref
setupbench_success,SetupBench,Overall setup success,Best OpenHands variant,62.4,percent,"93 setup tasks.",paper-text/setupbench-2507.09063.txt
setupbench_success,SetupBench,Repository setup success,Low end,38.9,percent,"Repo setup remains hard.",paper-text/setupbench-2507.09063.txt
setupbench_success,SetupBench,Repository setup success,High end,57.4,percent,"Repo setup remains hard.",paper-text/setupbench-2507.09063.txt
setupbench_success,SetupBench,Local DB setup success,Low end,20.0,percent,"Service setup is especially fragile.",paper-text/setupbench-2507.09063.txt
setupbench_success,SetupBench,Local DB setup success,High end,53.3,percent,"Service setup is especially fragile.",paper-text/setupbench-2507.09063.txt
setupbench_waste,SetupBench,Wasted steps,Low observed range,38.17,percent,"Manual subset compared to optimal human behavior.",paper-text/setupbench-2507.09063.txt
setupbench_waste,SetupBench,Wasted steps,High observed range,68.77,percent,"Redundant reads and off-target exploration.",paper-text/setupbench-2507.09063.txt
installamatic_success,Installamatic,Repos installed at least once,Observed,21,count,"Out of 40 Python repos.",paper-text/installamatic-2412.06294.txt
installamatic_success,Installamatic,Average installation rate,Observed,28.8,percent,"Agent installation attempts.",paper-text/installamatic-2412.06294.txt
installamatic_success,Installamatic,Average installation rate,Perfect recall condition,34.7,percent,"Even perfect recall leaves install failures.",paper-text/installamatic-2412.06294.txt
installamatic_cost,Installamatic,Average attempt time,Observed,501,seconds,"Average install attempt runtime.",paper-text/installamatic-2412.06294.txt
long_code_arena_ci,Long Code Arena,CI repair success,Open-source model low end,4,percent,"77 real CI failures.",paper-text/long-code-arena-2406.11612.txt
long_code_arena_ci,Long Code Arena,CI repair success,Open-source model high end,9,percent,"77 real CI failures.",paper-text/long-code-arena-2406.11612.txt
long_code_arena_ci,Long Code Arena,CI repair success,GPT-3.5,17,percent,"77 real CI failures.",paper-text/long-code-arena-2406.11612.txt
swe_ci_regressions,SWE-CI,Zero-regression rate,Most models,25,percent,"Most models below this rate; only two Claude Opus models exceeded 0.5.",paper-text/swe-ci-2603.03823.txt
swe_ci_style_vs_maint,SWE-CI,Models beating human oracle on Pylint,Observed,15,count,"Out of 20 models.",paper-text/swe-ci-2603.03823.txt
swe_ci_style_vs_maint,SWE-CI,Models underperforming human oracle on Maintainability Index,Observed,20,count,"All 20 models.",paper-text/swe-ci-2603.03823.txt
fixedbench_unwanted_edits,FixedBench,Undesirable code-change rate,Low observed range,35,percent,"Already-fixed tasks; no-op should be valid.",paper-text/fixedbench-noop-2605.07769.txt
fixedbench_unwanted_edits,FixedBench,Undesirable code-change rate,High observed range,65,percent,"Already-fixed tasks; no-op should be valid.",paper-text/fixedbench-noop-2605.07769.txt
fixedbench_prompting,FixedBench,Abstention rate,GPT-5.4 Mini baseline,60.5,percent,"No-op benchmark.",paper-text/fixedbench-noop-2605.07769.txt
fixedbench_prompting,FixedBench,Abstention rate,GPT-5.4 Mini edit prompt,36.5,percent,"Prompt pressure to edit lowered abstention.",paper-text/fixedbench-noop-2605.07769.txt
fixedbench_prompting,FixedBench,Abstention rate,GPT-5.4 Mini reproduce prompt,47.5,percent,"Reproduce-only was not enough.",paper-text/fixedbench-noop-2605.07769.txt
fixedbench_prompting,FixedBench,Abstention rate,GPT-5.4 Mini abstain-or-fix prompt,88.5,percent,"Explicitly allowing no-op helped most.",paper-text/fixedbench-noop-2605.07769.txt
agent_tests_behavior,Rethinking Agent-Generated Tests,Tasks with agent-written tests,Claude Opus 4.5,83.0,percent,"High testing rate.",paper-text/rethinking-agent-generated-tests-2602.07900.txt
agent_tests_behavior,Rethinking Agent-Generated Tests,Resolved rate,Claude Opus 4.5,74.4,percent,"High testing rate did not uniquely explain success.",paper-text/rethinking-agent-generated-tests-2602.07900.txt
agent_tests_behavior,Rethinking Agent-Generated Tests,Tasks with agent-written tests,GPT-5.2,0.6,percent,"Very low testing rate.",paper-text/rethinking-agent-generated-tests-2602.07900.txt
agent_tests_behavior,Rethinking Agent-Generated Tests,Resolved rate,GPT-5.2,71.8,percent,"Similar solve rate with very little test writing.",paper-text/rethinking-agent-generated-tests-2602.07900.txt
gittaskbench_success,GitTaskBench,Execution completion rate,OpenHands + Claude 3.7,72.22,percent,"Best evaluated setting.",paper-text/gittaskbench-aaai-2026.txt
gittaskbench_success,GitTaskBench,Task pass rate,OpenHands + Claude 3.7,48.15,percent,"Best evaluated setting.",paper-text/gittaskbench-aaai-2026.txt
gittaskbench_success,GitTaskBench,Input tokens,OpenHands + Claude 3.7,9501.25,thousand_tokens,"Best task pass rate was expensive.",paper-text/gittaskbench-aaai-2026.txt
gittaskbench_success,GitTaskBench,Cost,OpenHands + Claude 3.7,29.8,dollars,"Best task pass rate was expensive.",paper-text/gittaskbench-aaai-2026.txt
gittaskbench_dataset,GitTaskBench,Tasks,Dataset,54,count,"Across 18 GitHub projects.",paper-text/gittaskbench-aaai-2026.txt
gittaskbench_dataset,GitTaskBench,Domains,Dataset,7,count,"User-centric daily-life tasks.",paper-text/gittaskbench-aaai-2026.txt
gittaskbench_dataset,GitTaskBench,Modalities,Dataset,7,count,"Multimodal tasks.",paper-text/gittaskbench-aaai-2026.txt
