chart_id,source,metric,series,value,unit,note,local_ref
aidev_scale,AIDev,Agentic PRs,All pull requests,932791,count,"OpenAI Codex, Devin, GitHub Copilot, Cursor, Claude Code.",paper-text/aidev-agentic-prs-2602.09185.txt
aidev_scale,AIDev,Repositories,All repositories,116211,count,"Full dataset.",paper-text/aidev-agentic-prs-2602.09185.txt
aidev_scale,AIDev,Developers,All users,72189,count,"Full dataset.",paper-text/aidev-agentic-prs-2602.09185.txt
aidev_curated,AIDev,Agentic PRs,Curated subset,33596,count,"From 2,807 repos with >100 stars.",paper-text/aidev-agentic-prs-2602.09185.txt
aidev_curated,AIDev,Repositories,Curated subset,2807,count,"Repos with >100 stars.",paper-text/aidev-agentic-prs-2602.09185.txt
aidev_curated,AIDev,PR commits,Curated subset,88576,count,"Commit-level scale.",paper-text/aidev-agentic-prs-2602.09185.txt
aidev_curated,AIDev,Commit details,Curated subset,711923,count,"File-level commit details.",paper-text/aidev-agentic-prs-2602.09185.txt
agentic_vs_human_scope,How AI Coding Agents Modify Code,Merged PRs,Agentic PRs,24014,count,"Compared against human PRs.",paper-text/how-ai-coding-agents-modify-code-2601.17581.txt
agentic_vs_human_scope,How AI Coding Agents Modify Code,Merged PRs,Human PRs,5081,count,"Comparison sample.",paper-text/how-ai-coding-agents-modify-code-2601.17581.txt
agentic_vs_human_scope,How AI Coding Agents Modify Code,Commits,Agentic PR commits,440295,count,"Agentic merged PR commits.",paper-text/how-ai-coding-agents-modify-code-2601.17581.txt
agentic_vs_human_scope,How AI Coding Agents Modify Code,Commits,Human PR commits,23242,count,"Human merged PR commits.",paper-text/how-ai-coding-agents-modify-code-2601.17581.txt
agentic_vs_human_deltas,How AI Coding Agents Modify Code,Cliff delta,Commits per PR,0.5429,delta,"Large practical difference.",paper-text/how-ai-coding-agents-modify-code-2601.17581.txt
agentic_vs_human_deltas,How AI Coding Agents Modify Code,Cliff delta,Files touched,0.4487,delta,"Medium practical difference.",paper-text/how-ai-coding-agents-modify-code-2601.17581.txt
agentic_vs_human_deltas,How AI Coding Agents Modify Code,Cliff delta,Additions,0.2836,delta,"Small practical difference.",paper-text/how-ai-coding-agents-modify-code-2601.17581.txt
agentic_vs_human_deltas,How AI Coding Agents Modify Code,Cliff delta,Deletions,0.4462,delta,"Medium practical difference.",paper-text/how-ai-coding-agents-modify-code-2601.17581.txt
agentic_vs_human_deltas,How AI Coding Agents Modify Code,Cliff delta,Line changes,0.3158,delta,"Small practical difference.",paper-text/how-ai-coding-agents-modify-code-2601.17581.txt
agentic_vs_human_similarity,How AI Coding Agents Modify Code,CodeBERT similarity,Agentic PRs,0.9356,fraction,"Agentic PR patches were more similar to surrounding context.",paper-text/how-ai-coding-agents-modify-code-2601.17581.txt
agentic_vs_human_similarity,How AI Coding Agents Modify Code,CodeBERT similarity,Human PRs,0.9285,fraction,"Comparison sample.",paper-text/how-ai-coding-agents-modify-code-2601.17581.txt
readability_focus,Do AI Agents Really Improve Code Readability,Readability-related commits,All AI-generated commits,0.3,percent,"Readability keywords were rare.",paper-text/readability-agents-2603.13723.txt
readability_focus,Do AI Agents Really Improve Code Readability,Analyzed readability commits,Valid pre/post code states,403,count,"Metric analysis sample.",paper-text/readability-agents-2603.13723.txt
readability_smells,Do AI Agents Really Improve Code Readability,Addressed smell share,Logic complexity,42.4,percent,"Agent readability commits mostly target logic complexity.",paper-text/readability-agents-2603.13723.txt
readability_smells,Do AI Agents Really Improve Code Readability,Addressed smell share,Documentation,24.2,percent,"Agent readability commits also target explanatory clarity.",paper-text/readability-agents-2603.13723.txt
readability_outcomes,Do AI Agents Really Improve Code Readability,Deterioration share,Maintainability Index,56.1,percent,"Readability-focused agent commits often degraded static metrics.",paper-text/readability-agents-2603.13723.txt
readability_outcomes,Do AI Agents Really Improve Code Readability,Increase share,Lines of Code,71.5,percent,"Readability-focused agent commits often added volume.",paper-text/readability-agents-2603.13723.txt
readability_outcomes,Do AI Agents Really Improve Code Readability,Increase share,Cyclomatic Complexity,42.7,percent,"Article implication section.",paper-text/readability-agents-2603.13723.txt
readability_metric_deltas,Do AI Agents Really Improve Code Readability,Mean delta,Lines of Code,27.61,lines,"After minus before.",paper-text/readability-agents-2603.13723.txt
readability_metric_deltas,Do AI Agents Really Improve Code Readability,Mean delta,Cyclomatic Complexity,3.13,points,"After minus before.",paper-text/readability-agents-2603.13723.txt
readability_metric_deltas,Do AI Agents Really Improve Code Readability,Mean delta,Maintainability Index,-3.25,points,"After minus before; higher is better.",paper-text/readability-agents-2603.13723.txt
