chart_id,source,metric,series,value,unit,note,local_ref
agents_md_efficiency,AGENTS.md impact,Median runtime,Without AGENTS.md,98.57,seconds,"Inferred from reported reduction.",paper-text/agents-md-impact-2601.20404.txt
agents_md_efficiency,AGENTS.md impact,Median runtime,With AGENTS.md,70.34,seconds,"28.64% reduction.",paper-text/agents-md-impact-2601.20404.txt
agents_md_efficiency,AGENTS.md impact,Mean runtime,Without AGENTS.md,162.94,seconds,"Paired Codex runs.",paper-text/agents-md-impact-2601.20404.txt
agents_md_efficiency,AGENTS.md impact,Mean runtime,With AGENTS.md,129.91,seconds,"20.27% reduction.",paper-text/agents-md-impact-2601.20404.txt
agents_md_efficiency,AGENTS.md impact,Mean output tokens,Without AGENTS.md,5744.81,tokens,"Paired Codex runs.",paper-text/agents-md-impact-2601.20404.txt
agents_md_efficiency,AGENTS.md impact,Mean output tokens,With AGENTS.md,4591.46,tokens,"20.08% reduction.",paper-text/agents-md-impact-2601.20404.txt
evaluating_agents_md_context,Evaluating AGENTS.md,Resolution change,LLM-generated context on SWE-bench Lite,-0.5,percentage_points,"Average resolution changed slightly negative.",paper-text/evaluating-agents-md-2602.11988.txt
evaluating_agents_md_context,Evaluating AGENTS.md,Resolution change,LLM-generated context on AGENT BENCH,-2.0,percentage_points,"Average resolution changed negative.",paper-text/evaluating-agents-md-2602.11988.txt
evaluating_agents_md_context,Evaluating AGENTS.md,Cost increase,LLM-generated context on SWE-bench Lite,20,percent,"More context increased cost.",paper-text/evaluating-agents-md-2602.11988.txt
evaluating_agents_md_context,Evaluating AGENTS.md,Cost increase,LLM-generated context on AGENT BENCH,23,percent,"More context increased cost.",paper-text/evaluating-agents-md-2602.11988.txt
evaluating_agents_md_context,Evaluating AGENTS.md,Average performance change,Developer-provided context,4,percent,"Developer files helped on average but increased steps/cost.",paper-text/evaluating-agents-md-2602.11988.txt
evaluating_agents_md_context,Evaluating AGENTS.md,Average extra steps,Developer-provided context,3.34,steps,"Context induced broader exploration.",paper-text/evaluating-agents-md-2602.11988.txt
agent_readmes_scale,Agent READMEs,Context files,Total,2303,count,"Across 1,925 repositories.",paper-text/agent-readmes-context-files-2025.txt
agent_readmes_scale,Agent READMEs,Repositories,Total,1925,count,"Claude Code, Codex, and GitHub Copilot context files.",paper-text/agent-readmes-context-files-2025.txt
